#MAIN_PLAN,ADDITIONAL_PLAN,PKG_TYPE
BANGALORE BANGARA,BANGALORE ADDITIONAL  BANGARA,0
BANGALORE BANGARA 12M,BANGALORE ADDITIONAL BANGARA 12M,0
BANGALORE BANGARA 1M,BANGALORE ADDITIONAL BANGARA 1M,0
BANGALORE BANGARA 3M,BANGALORE ADDITIONAL BANGARA 3M,0
BANGALORE BANGARA 6M,BANGALORE ADDITIONAL BANGARA 6M,0
BANGALORE BANGARA ADV,BANGALORE ADDITIONAL  BANGARA ADV,0
BANGALORE JANPRIYA,BANGALORE ADDITIONAL  JANPRIYA,0
BANGALORE JANPRIYA 12M,BANGALORE ADDITIONAL JANPRIYA 12M,0
BANGALORE JANPRIYA 1M,BANGALORE ADDITIONAL JANPRIYA 1M,0
BANGALORE JANPRIYA 3M,BANGALORE ADDITIONAL JANPRIYA 3M,0
BANGALORE JANPRIYA 6M,BANGALORE ADDITIONAL JANPRIYA 6M,0
BANGALORE JANPRIYA ADV,BANGALORE ADDITIONAL  JANPRIYA ADV,0
BANGALORE VAJRA,BANGALORE ADDITIONAL  VAJRA,0
BANGALORE VAJRA 12 M,BANGALORE ADDITIONAL VAJRA 12M,0
BANGALORE VAJRA 12M,BANGALORE ADDITIONAL VAJRA 12M,0
BANGALORE VAJRA 1M,BANGALORE ADDITIONAL VAJRA 1M,0
BANGALORE VAJRA 3M,BANGALORE ADDITIONAL VAJRA 3M,0
BANGALORE VAJRA 6 M,BANGALORE ADDITIONAL VAJRA 6M,0
BANGALORE VAJRA 6M,BANGALORE ADDITIONAL VAJRA 6M,0
BANGALORE VAJRA ADV,BANGALORE ADDITIONAL  VAJRA ADV,0
DELHI DIGITAL POPULAR PACKAGE,DELHI ADDITIONAL DIGITAL POPULAR PACKAGE,0
DELHI DIGITAL POPULAR PACKAGE 12M,DELHI ADDITIONAL DIGITAL POPULAR PACKAGE 12M,0
DELHI DIGITAL POPULAR PACKAGE 1M,DELHI ADDITIONAL DIGITAL POPULAR PACKAGE 1M,0
DELHI DIGITAL POPULAR PACKAGE 3M,DELHI ADDITIONAL DIGITAL POPULAR PACKAGE 3M,0
DELHI DIGITAL POPULAR PACKAGE 6M,DELHI ADDITIONAL DIGITAL POPULAR PACKAGE 6M,0
DELHI DIGITAL POPULAR PACKAGE ADV,DELHI ADDITIONAL DIGITAL POPULAR PACKAGE ADV,0
DELHI DIGITAL PREMIUM PACKAGE,DELHI ADDITIONAL DIGITAL PREMIUM PACKAGE,0
DELHI DIGITAL PREMIUM PACKAGE 12M,DELHI ADDITIONAL DIGITAL PREMIUM PACKAGE 12M,0
DELHI DIGITAL PREMIUM PACKAGE 1M,DELHI ADDITIONAL DIGITAL PREMIUM PACKAGE 1M,0
DELHI DIGITAL PREMIUM PACKAGE 3M,DELHI ADDITIONAL DIGITAL PREMIUM PACKAGE 3M,0
DELHI DIGITAL PREMIUM PACKAGE 6M,DELHI ADDITIONAL DIGITAL PREMIUM PACKAGE 6M,0
DELHI DIGITAL PREMIUM PACKAGE ADV,DELHI ADDITIONAL DIGITAL PREMIUM PACKAGE ADV,0
DELHI DIGITAL PREMIUM PLUS PACKAGE,DELHI ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE,0
DELHI DIGITAL PREMIUM PLUS PACKAGE 12M,DELHI ADDITIONAL DIGITAL PREMIUM PLUS PACKAGE 12M,0
DELHI DIGITAL PREMIUM PLUS PACKAGE 1M,DELHI ADDITIONAL DIGITAL PREMIUM PLUS PACKAGE 1M,0
DELHI DIGITAL PREMIUM PLUS PACKAGE 3M,DELHI ADDITIONAL DIGITAL PREMIUM PLUS PACKAGE 3M,0
DELHI DIGITAL PREMIUM PLUS PACKAGE 6M,DELHI ADDITIONAL DIGITAL PREMIUM PLUS PACKAGE 6M,0
DELHI DIGITAL PREMIUM PLUS PACKAGE ADV,DELHI ADDITIONAL  DIGITAL PREMIUM PLUS PACKAGE ADV,0
DELHI DIGITAL STARTER PACKAGE,DELHI ADDITIONAL DIGITAL STARTER PACKAGE,0
DELHI DIGITAL STARTER PACKAGE 1M,DELHI ADDITIONAL DIGITAL STARTER PACKAGE 1M,0
DELHI DIGITAL STARTER PACKAGE 3M,DELHI ADDITIONAL DIGITAL STARTER PACKAGE 3M,0
DELHI DIGITAL STARTER PACKAGE ADV,DELHI ADDITIONAL DIGITAL STARTER PACKAGE ADV,0
DELHI PRIME PP 12M,DELHI ADDITIONAL PRIME PP 12M,0
DELHI PRIME PP 1M,DELHI ADDITIONAL PRIME PP 1M,0
DELHI PRIME PP 3M,DELHI ADDITIONAL PRIME PP 3M,0
DELHI PRIME PP 6M,DELHI ADDITIONAL PRIME PP 6M,0
DELHI PRIME SP 12M,DELHI ADDITIONAL PRIME SP 12M,0
DELHI PRIME SP 1M,DELHI ADDITIONAL PRIME SP 1M,0
DELHI PRIME SP 3M,DELHI ADDITIONAL PRIME SP 3M,0
DELHI PRIME SP 6M,DELHI ADDITIONAL PRIME SP 6M,0
DELHI ROYAL HD PP 12M,DELHI ADDITIONAL ROYAL HD PP 12M,0
DELHI ROYAL HD PP 1M,DELHI ADDITIONAL ROYAL HD PP 1M,0
DELHI ROYAL HD PP 3M,DELHI ADDITIONAL ROYAL HD PP 3M,0
DELHI ROYAL HD PP 6M,DELHI ADDITIONAL ROYAL HD PP 6M,0
